"id","age","department","distance_from_home","education","employee_count","gender","job_role","job_satisfaction","marital_status","monthly_income","yearly_income","num_companies_worked","performance_rating","total_working_years","years_at_company","years_since_last_promotion"
1,41,"Sales",1,"College",1,"Female","Sales Executive","Very High","Single",5993,71916,8,"Excellent",8,6,0
3,37,"Research & Development",2,"College",1,"Male","Laboratory Technician","High","Single",2090,25080,6,"Excellent",7,0,0
4,33,"Research & Development",3,"Master",1,"Female","Research Scientist","High","Married",2909,34908,1,"Excellent",8,8,3
6,32,"Research & Development",2,"College",1,"Male","Laboratory Technician","Very High","Single",3068,36816,0,"Excellent",8,7,3
7,59,"Research & Development",3,"Bachelor",1,"Female","Laboratory Technician","Low","Married",2670,32040,4,"Outstanding",12,1,0
9,38,"Research & Development",23,"Bachelor",1,"Male","Manufacturing Director","High","Single",9526,114312,0,"Outstanding",10,9,1
10,36,"Research & Development",27,"Bachelor",1,"Male","Healthcare Representative","High","Married",5237,62844,6,"Excellent",17,7,7
11,35,"Research & Development",16,"Bachelor",1,"Male","Laboratory Technician","Medium","Married",2426,29112,0,"Excellent",6,5,0
12,29,"Research & Development",15,"College",1,"Female","Laboratory Technician","High","Single",4193,50316,0,"Excellent",10,9,0
14,34,"Research & Development",19,"College",1,"Male","Laboratory Technician","Very High","Divorced",2661,31932,0,"Excellent",3,2,1
15,28,"Research & Development",24,"Bachelor",1,"Male","Laboratory Technician","High","Single",2028,24336,5,"Excellent",6,4,0
16,29,"Research & Development",21,"Master",1,"Female","Manufacturing Director","Low","Divorced",9980,119760,1,"Excellent",10,10,8
17,32,"Research & Development",5,"College",1,"Male","Research Scientist","Medium","Divorced",3298,39576,0,"Excellent",7,6,0
18,22,"Research & Development",16,"College",1,"Male","Laboratory Technician","Very High","Divorced",2935,35220,1,"Excellent",1,1,0
19,53,"Sales",2,"Master",1,"Female","Manager","Very High","Married",15427,185124,2,"Excellent",31,25,3
20,38,"Research & Development",2,"Bachelor",1,"Male","Research Scientist","Very High","Single",3944,47328,5,"Excellent",6,3,1
21,24,"Research & Development",11,"College",1,"Female","Manufacturing Director","High","Divorced",4011,48132,0,"Excellent",5,4,1
22,36,"Sales",9,"Master",1,"Male","Sales Representative","Low","Single",3407,40884,7,"Outstanding",10,5,0
23,34,"Research & Development",7,"Master",1,"Female","Research Director","Medium","Single",11994,143928,0,"Excellent",13,12,2
24,21,"Research & Development",15,"College",1,"Male","Research Scientist","Very High","Single",1232,14784,1,"Excellent",0,0,0
26,53,"Research & Development",5,"Bachelor",1,"Female","Manager","High","Divorced",19094,229128,4,"Excellent",26,14,4
28,42,"Sales",8,"Master",1,"Male","Sales Executive","Medium","Married",6825,81900,0,"Excellent",10,9,4
29,44,"Research & Development",7,"Master",1,"Female","Healthcare Representative","Very High","Married",10248,122976,3,"Excellent",24,22,5
