id,age,department,distance_from_home,education,employee_count,gender,job_role,job_satisfaction,marital_status,monthly_income,num_companies_worked,performance_rating,total_working_years,years_at_company,years_since_last_promotion,yearly_income
1,41,Sales,1,College,1,Female,Sales Executive,Very High,Single,5993,8,Excellent,8,6,0,71916
3,37,Research & Development,2,College,1,Male,Laboratory Technician,High,Single,2090,6,Excellent,7,0,0,25080
4,33,Research & Development,3,Master,1,Female,Research Scientist,High,Married,2909,1,Excellent,8,8,3,34908
6,32,Research & Development,2,College,1,Male,Laboratory Technician,Very High,Single,3068,0,Excellent,8,7,3,36816
7,59,Research & Development,3,Bachelor,1,Female,Laboratory Technician,Low,Married,2670,4,Outstanding,12,1,0,32040
9,38,Research & Development,23,Bachelor,1,Male,Manufacturing Director,High,Single,9526,0,Outstanding,10,9,1,114312
10,36,Research & Development,27,Bachelor,1,Male,Healthcare Representative,High,Married,5237,6,Excellent,17,7,7,62844
11,35,Research & Development,16,Bachelor,1,Male,Laboratory Technician,Medium,Married,2426,0,Excellent,6,5,0,29112
12,29,Research & Development,15,College,1,Female,Laboratory Technician,High,Single,4193,0,Excellent,10,9,0,50316
14,34,Research & Development,19,College,1,Male,Laboratory Technician,Very High,Divorced,2661,0,Excellent,3,2,1,31932
15,28,Research & Development,24,Bachelor,1,Male,Laboratory Technician,High,Single,2028,5,Excellent,6,4,0,24336
16,29,Research & Development,21,Master,1,Female,Manufacturing Director,Low,Divorced,9980,1,Excellent,10,10,8,119760
17,32,Research & Development,5,College,1,Male,Research Scientist,Medium,Divorced,3298,0,Excellent,7,6,0,39576
18,22,Research & Development,16,College,1,Male,Laboratory Technician,Very High,Divorced,2935,1,Excellent,1,1,0,35220
19,53,Sales,2,Master,1,Female,Manager,Very High,Married,15427,2,Excellent,31,25,3,185124
20,38,Research & Development,2,Bachelor,1,Male,Research Scientist,Very High,Single,3944,5,Excellent,6,3,1,47328
21,24,Research & Development,11,College,1,Female,Manufacturing Director,High,Divorced,4011,0,Excellent,5,4,1,48132
22,36,Sales,9,Master,1,Male,Sales Representative,Low,Single,3407,7,Outstanding,10,5,0,40884
23,34,Research & Development,7,Master,1,Female,Research Director,Medium,Single,11994,0,Excellent,13,12,2,143928
24,21,Research & Development,15,College,1,Male,Research Scientist,Very High,Single,1232,1,Excellent,0,0,0,14784
26,53,Research & Development,5,Bachelor,1,Female,Manager,High,Divorced,19094,4,Excellent,26,14,4,229128
28,42,Sales,8,Master,1,Male,Sales Executive,Medium,Married,6825,0,Excellent,10,9,4,81900
29,44,Research & Development,7,Master,1,Female,Healthcare Representative,Very High,Married,10248,3,Excellent,24,22,5,122976
30,46,Sales,2,Master,1,Female,Manager,Low,Single,18947,3,Excellent,22,2,2,227364
31,33,Research & Development,2,Bachelor,1,Male,Laboratory Technician,Very High,Single,2496,4,Excellent,7,1,0,29952
32,44,Research & Development,10,Master,1,Male,Healthcare Representative,Very High,Married,6465,2,Excellent,9,4,1,77580
33,30,Research & Development,9,College,1,Male,Laboratory Technician,High,Single,2206,1,Excellent,10,10,1,26472
34,39,Sales,5,Bachelor,1,Male,Sales Representative,Very High,Married,2086,3,Excellent,19,1,0,25032
35,24,Research & Development,1,Bachelor,1,Male,Research Scientist,Very High,Married,2293,2,Excellent,6,2,2,27516
36,43,Research & Development,2,College,1,Female,Research Scientist,High,Divorced,2645,1,Excellent,6,5,1,31740
37,50,Sales,3,College,1,Male,Sales Representative,High,Married,2683,1,Excellent,3,3,0,32196
38,35,Sales,2,Bachelor,1,Female,Sales Representative,Very High,Married,2014,1,Excellent,2,2,2,24168
39,36,Research & Development,5,Master,1,Female,Research Scientist,Low,Married,3419,9,Excellent,6,1,0,41028
40,33,Sales,1,Bachelor,1,Female,Sales Executive,Low,Married,5376,2,Excellent,10,5,1,64512
41,35,Research & Development,4,College,1,Male,Laboratory Technician,Very High,Divorced,1951,1,Excellent,1,1,0,23412
42,27,Research & Development,2,Master,1,Female,Laboratory Technician,Low,Divorced,2341,1,Excellent,1,1,0,28092
43,26,Research & Development,25,Bachelor,1,Male,Laboratory Technician,High,Single,2293,1,Excellent,1,1,0,27516
44,27,Sales,8,Bachelor,1,Male,Sales Executive,High,Single,8726,1,Excellent,9,9,1,104712
45,30,Research & Development,1,College,1,Female,Laboratory Technician,Very High,Single,4011,1,Outstanding,12,12,3,48132
46,41,Research & Development,12,Bachelor,1,Female,Research Director,High,Married,19545,1,Excellent,23,22,15,234540
47,34,Sales,23,Master,1,Male,Sales Executive,High,Single,4568,0,Outstanding,10,9,8,54816
48,37,Research & Development,19,College,1,Male,Research Scientist,Medium,Married,3022,4,Outstanding,8,1,0,36264
49,46,Sales,5,Master,1,Male,Sales Executive,Very High,Single,5772,4,Outstanding,14,9,0,69264
51,48,Research & Development,1,College,1,Male,Laboratory Technician,High,Single,5381,9,Excellent,23,1,0,64572
52,28,Research & Development,5,Master,1,Male,Laboratory Technician,High,Single,3441,1,Excellent,2,2,2,41292
53,44,Sales,1,Doctor,1,Female,Sales Executive,Low,Divorced,5454,5,Outstanding,9,4,1,65448
54,35,Research & Development,11,College,1,Male,Healthcare Representative,Low,Married,9884,2,Excellent,10,4,2,118608
