id,age,department,distancefromhome,education,employeecount,gender,jobrole,job_satisfaction,marital_status,monthly_income,num_companies_worked,performancerating,total_working_years,work_life_balance,years_at_company,years_since_last_promotion
1,41,Sales,1,College,1,Female,Sales Executive,Very High,Single,5993,8,Excellent,8,Bad,6,0
2,49,Research & Development,8,Below College,1,Male,Research Scientist,Medium,Married,5130,1,Outstanding,10,Better,10,1
3,37,Research & Development,2,College,1,Male,Laboratory Technician,High,Single,2090,6,Excellent,7,Better,0,0
4,33,Research & Development,3,Master,1,Female,Research Scientist,High,Married,2909,1,Excellent,8,Better,8,3
5,27,Research & Development,2,Below College,1,Male,Laboratory Technician,Medium,Married,3468,9,Excellent,6,Better,2,2
6,32,Research & Development,2,College,1,Male,Laboratory Technician,Very High,Single,3068,0,Excellent,8,Good,7,3
7,59,Research & Development,3,Bachelor,1,Female,Laboratory Technician,Low,Married,2670,4,Outstanding,12,Good,1,0
8,30,Research & Development,24,Below College,1,Male,Laboratory Technician,High,Divorced,2693,1,Outstanding,1,Better,1,0
9,38,Research & Development,23,Bachelor,1,Male,Manufacturing Director,High,Single,9526,0,Outstanding,10,Better,9,1
10,36,Research & Development,27,Bachelor,1,Male,Healthcare Representative,High,Married,5237,6,Excellent,17,Good,7,7
11,35,Research & Development,16,Bachelor,1,Male,Laboratory Technician,Medium,Married,2426,0,Excellent,6,Better,5,0
12,29,Research & Development,15,College,1,Female,Laboratory Technician,High,Single,4193,0,Excellent,10,Better,9,0
13,31,Research & Development,26,Below College,1,Male,Research Scientist,High,Divorced,2911,1,Excellent,5,Good,5,4
14,34,Research & Development,19,College,1,Male,Laboratory Technician,Very High,Divorced,2661,0,Excellent,3,Better,2,1
15,28,Research & Development,24,Bachelor,1,Male,Laboratory Technician,High,Single,2028,5,Excellent,6,Better,4,0
16,29,Research & Development,21,Master,1,Female,Manufacturing Director,Low,Divorced,9980,1,Excellent,10,Better,10,8
17,32,Research & Development,5,College,1,Male,Research Scientist,Medium,Divorced,3298,0,Excellent,7,Good,6,0
